Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
18.0,Female,48.0,Kinesthetic,14.0,1,100.0,71.26868575435283,66.0,Yes,6,2,6,82.76121145261169,Engineering,Aerospace
29.0,Female,30.0,Reading/Writing,20.0,0,71.0,49.09941911973731,57.0,Yes,2,6,5,57.85965147184238,Health Sciences,Pharmacy
20.0,Female,47.0,Kinesthetic,11.0,0,60.0,63.07098154999409,79.0,Yes,4,6,6,61.84258892999645,Health Sciences,Medical Technology
23.0,Female,13.0,Auditory,0.0,1,63.0,42.233870014178216,60.0,Yes,6,5,5,50.54032200850693,Business and Finance,Business Administration
19.0,Female,24.0,Auditory,19.0,1,59.0,62.48661837548779,93.0,Yes,5,5,4,61.09197102529267,Health Sciences,Nursing
28.0,Female,26.0,Kinesthetic,5.0,1,63.0,52.28219646821367,80.0,No,8,7,4,56.5693178809282,Business and Finance,Finance
19.0,Female,49.0,Reading/Writing,13.0,1,91.0,82.0,66.0,Yes,1,8,5,85.6,Engineering,Computer
27.0,Male,14.0,Reading/Writing,5.0,1,88.0,53.32033904644543,76.0,Yes,6,5,5,67.19220342786726,Health Sciences,Physical Therapy
22.0,Male,45.0,Visual,16.0,0,52.0,45.400000000000006,70.0,No,10,3,7,48.040000000000006,Business and Finance,Finance
28.0,Other,35.0,Auditory,7.0,0,100.0,69.59184355996953,100.0,No,5,0,7,81.75510613598172,Engineering,Civil
23.0,Male,40.0,Kinesthetic,20.0,0,74.0,70.57655263141406,93.0,No,2,4,5,71.94593157884844,Engineering,Civil
23.0,Male,14.0,Visual,18.0,1,77.0,49.22521356998495,74.0,No,7,2,8,60.33512814199096,Health Sciences,Medical Technology
23.0,Female,24.0,Visual,4.0,0,67.0,54.75491899978548,93.0,Yes,5,5,5,59.65295139987128,Business and Finance,Marketing
27.0,Male,44.0,Reading/Writing,20.0,0,80.0,60.8,51.0,Yes,1,3,4,68.47999999999999,Engineering,Civil
22.0,Other,10.0,Reading/Writing,17.0,1,67.0,44.55806687720363,55.0,Yes,3,5,7,53.53484012632218,Health Sciences,Physical Therapy
25.0,Female,28.0,Reading/Writing,13.0,1,85.0,63.11867166735468,76.0,Yes,5,6,5,71.8712030004128,Health Sciences,Nursing
19.0,Male,11.0,Visual,20.0,1,81.0,64.21315240291634,93.0,No,2,4,5,70.92789144174981,Health Sciences,Nursing
18.0,Male,8.0,Kinesthetic,9.0,1,52.0,36.489606120635685,69.0,No,8,4,5,42.69376367238141,Business and Finance,Accountancy
22.0,Male,11.0,Kinesthetic,11.0,0,50.0,41.52063723698782,96.0,Yes,6,3,4,44.912382342192686,Engineering,Aerospace
19.0,Female,28.0,Auditory,19.0,0,50.0,56.8,80.0,Yes,1,2,8,54.08,Health Sciences,Physical Therapy
19.0,Male,30.0,Reading/Writing,0.0,1,89.0,76.3931073375783,90.0,Yes,2,3,8,81.43586440254698,Health Sciences,Physical Therapy
20.0,Male,48.0,Visual,16.0,1,81.0,85.80000000000001,82.0,Yes,1,4,4,83.88,Business and Finance,Marketing
18.0,Female,14.0,Reading/Writing,4.0,1,90.0,50.3957042858548,73.0,Yes,7,2,4,66.23742257151288,Engineering,Aerospace
25.0,Male,41.0,Reading/Writing,6.0,1,68.0,74.76530117579543,100.0,No,6,1,8,72.05918070547726,Business and Finance,Business Administration
25.0,Female,36.0,Visual,3.0,1,96.0,57.2,66.0,Yes,10,5,5,72.72,Business and Finance,Business Administration
22.0,Female,38.0,Reading/Writing,7.0,1,91.0,69.0,50.0,Yes,1,5,7,77.8,Business and Finance,Finance
19.0,Male,48.0,Kinesthetic,1.0,1,86.0,71.76778324732501,86.0,Yes,9,5,7,77.46066994839501,Health Sciences,Physical Therapy
19.0,Male,40.0,Auditory,16.0,1,100.0,76.78842648293549,74.0,No,3,3,6,86.07305588976129,Business and Finance,Business Administration
24.0,Female,39.0,Kinesthetic,9.0,0,79.0,62.71603208603212,91.0,Yes,6,2,6,69.22961925161927,Business and Finance,Accountancy
20.0,Male,23.0,Kinesthetic,3.0,1,59.0,58.66819919803951,81.0,Yes,4,7,6,58.8009195188237,Business and Finance,Finance
23.0,Male,25.0,Auditory,12.0,1,55.0,54.30156351734858,85.0,Yes,7,3,7,54.58093811040915,Engineering,Aerospace
28.0,Female,32.0,Auditory,5.0,0,53.0,64.92133804471626,96.0,Yes,1,6,5,60.15280282682976,Business and Finance,Finance
26.0,Female,26.0,Kinesthetic,3.0,1,53.0,57.32936145313448,76.0,No,4,4,5,55.59761687188069,Engineering,Aerospace
20.0,Female,11.0,Visual,3.0,1,58.0,45.69375427864748,62.0,No,3,4,9,50.616252567188496,Engineering,Civil
21.0,Female,20.0,Kinesthetic,1.0,1,64.0,40.47003185090159,62.0,No,9,7,6,49.88201911054095,Health Sciences,Medical Technology
27.0,Male,41.0,Reading/Writing,14.0,0,65.0,55.69345849528074,74.0,Yes,5,5,4,59.41607509716844,Business and Finance,Finance
28.0,Female,46.0,Kinesthetic,8.0,0,77.0,61.20862740334232,88.0,Yes,8,6,4,67.52517644200539,Health Sciences,Physical Therapy
25.0,Other,24.0,Auditory,19.0,0,90.0,36.67682430758676,54.0,Yes,8,5,8,58.00609458455206,Business and Finance,Accountancy
