,Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
0,18.0,Female,48.0,Kinesthetic,14.0,Yes,100.0,69.0,66.0,Yes,High,9.0,8.0,3.885,Engineering,Mechanical
1,29.0,Female,30.0,Reading/Writing,20.0,No,71.0,40.0,57.0,Yes,Medium,28.0,8.0,2.635,Health Sciences,Nursing
2,20.0,Female,47.0,Kinesthetic,11.0,No,60.0,43.0,79.0,Yes,Low,13.0,7.0,2.765,Health Sciences,Nursing
3,23.0,Female,13.0,Auditory,0.0,Yes,63.0,70.0,60.0,Yes,Low,24.0,10.0,3.295,Business and Finance,Accountancy
4,19.0,Female,24.0,Auditory,19.0,Yes,59.0,63.0,93.0,Yes,Medium,26.0,8.0,3.39,Health Sciences,Pharmacy
5,28.0,Female,26.0,Kinesthetic,5.0,Yes,63.0,54.0,80.0,No,High,25.0,8.0,3.095,Business and Finance,Business Administration
6,19.0,Female,49.0,Reading/Writing,13.0,Yes,91.0,44.0,66.0,Yes,Low,30.0,10.0,3.125,Engineering,Mechanical
7,27.0,Male,14.0,Reading/Writing,5.0,Yes,88.0,56.0,76.0,Yes,Low,4.0,6.0,3.48,Health Sciences,Medical Technology
8,22.0,Male,45.0,Visual,16.0,No,52.0,78.0,70.0,No,Low,26.0,9.0,3.43,Business and Finance,Economics
9,28.0,Other,35.0,Auditory,7.0,No,100.0,55.0,100.0,No,Medium,5.0,9.0,3.875,Engineering,Electronic
10,23.0,Male,40.0,Kinesthetic,20.0,No,74.0,44.0,93.0,No,Medium,15.0,10.0,3.14,Engineering,Computer
11,23.0,Male,14.0,Visual,18.0,Yes,77.0,56.0,74.0,No,High,9.0,6.0,3.295,Health Sciences,Medical Technology
12,23.0,Female,24.0,Visual,4.0,No,67.0,73.0,93.0,Yes,Medium,28.0,7.0,3.76,Business and Finance,Accountancy
13,27.0,Male,44.0,Reading/Writing,20.0,No,80.0,60.0,51.0,Yes,Low,27.0,6.0,3.21,Engineering,Electrical
14,22.0,Other,10.0,Reading/Writing,17.0,Yes,67.0,71.0,55.0,Yes,High,28.0,8.0,3.33,Health Sciences,Public Health
15,25.0,Female,28.0,Reading/Writing,13.0,Yes,85.0,90.0,76.0,Yes,Medium,5.0,8.0,4.285,Health Sciences,Medical Technology
16,19.0,Male,11.0,Visual,20.0,Yes,81.0,93.0,93.0,No,Medium,6.0,9.0,4.47,Health Sciences,Public Health
17,18.0,Male,8.0,Kinesthetic,9.0,Yes,52.0,97.0,69.0,No,Low,1.0,5.0,3.895,Business and Finance,Economics
18,22.0,Male,11.0,Kinesthetic,11.0,No,50.0,74.0,96.0,Yes,Medium,13.0,7.0,3.56,Engineering,Electronic
19,19.0,Female,28.0,Auditory,19.0,No,50.0,64.0,80.0,Yes,Medium,20.0,8.0,3.15,Health Sciences,Nursing
20,19.0,Male,30.0,Reading/Writing,0.0,Yes,89.0,97.0,90.0,Yes,Low,26.0,10.0,4.66,Health Sciences,Medical Technology
21,20.0,Male,48.0,Visual,16.0,Yes,81.0,76.0,82.0,Yes,Medium,29.0,9.0,3.935,Business and Finance,Entrepreneurship
22,18.0,Female,14.0,Reading/Writing,4.0,Yes,90.0,75.0,73.0,Yes,High,12.0,9.0,3.955,Engineering,Mechanical
23,25.0,Male,41.0,Reading/Writing,6.0,Yes,68.0,93.0,100.0,No,Medium,23.0,7.0,4.345,Business and Finance,Business Administration
24,25.0,Female,36.0,Visual,3.0,Yes,96.0,83.0,66.0,Yes,Low,8.0,7.0,4.175,Business and Finance,Entrepreneurship
25,22.0,Female,38.0,Reading/Writing,7.0,Yes,91.0,61.0,50.0,Yes,Low,19.0,10.0,3.39,Business and Finance,Business Administration
26,19.0,Male,48.0,Kinesthetic,1.0,Yes,86.0,52.0,86.0,Yes,Low,30.0,9.0,3.45,Health Sciences,Public Health
27,19.0,Male,40.0,Auditory,16.0,Yes,100.0,63.0,74.0,No,Medium,29.0,7.0,3.815,Business and Finance,Economics
28,24.0,Female,39.0,Kinesthetic,9.0,No,79.0,90.0,91.0,Yes,Medium,21.0,6.0,4.345,Business and Finance,Accountancy
30,20.0,Male,23.0,Kinesthetic,3.0,Yes,59.0,57.0,81.0,Yes,Medium,9.0,5.0,3.12,Business and Finance,Business Administration
32,23.0,Male,25.0,Auditory,12.0,Yes,55.0,63.0,85.0,Yes,High,14.0,4.0,3.25,Engineering,Computer
34,28.0,Female,32.0,Auditory,5.0,No,53.0,54.0,96.0,Yes,High,0.0,10.0,3.105,Business and Finance,Accountancy
36,26.0,Female,26.0,Kinesthetic,3.0,Yes,53.0,48.0,76.0,No,Low,19.0,4.0,2.755,Engineering,Computer
37,20.0,Female,11.0,Visual,3.0,Yes,58.0,73.0,62.0,No,Medium,22.0,7.0,3.315,Engineering,Computer
38,21.0,Female,20.0,Kinesthetic,1.0,Yes,64.0,99.0,62.0,No,High,2.0,4.0,4.055,Health Sciences,Public Health
40,27.0,Male,41.0,Reading/Writing,14.0,No,65.0,56.0,74.0,Yes,Low,26.0,9.0,3.115,Business and Finance,Economics
41,28.0,Female,46.0,Kinesthetic,8.0,No,77.0,51.0,88.0,Yes,Low,23.0,5.0,3.31,Health Sciences,Public Health
42,25.0,Other,24.0,Auditory,19.0,No,90.0,93.0,54.0,Yes,High,17.0,9.0,4.215,Business and Finance,Economics
43,22.0,Female,38.0,Auditory,5.0,Yes,96.0,54.0,92.0,No,High,16.0,5.0,3.71,Engineering,Mechanical
44,20.0,Female,45.0,Visual,9.0,No,78.0,42.0,58.0,Yes,Low,24.0,8.0,2.8,Business and Finance,Business Administration
45,28.0,Other,6.0,Visual,13.0,No,81.0,92.0,90.0,No,Medium,6.0,10.0,4.415,Health Sciences,Public Health
46,26.0,Female,23.0,Visual,10.0,No,94.0,42.0,65.0,Yes,Medium,11.0,6.0,3.11,Business and Finance,Accountancy
47,25.0,Male,35.0,Auditory,16.0,Yes,50.0,83.0,88.0,Yes,High,8.0,4.0,3.705,Health Sciences,Public Health
48,19.0,Male,12.0,Kinesthetic,5.0,Yes,50.0,78.0,66.0,Yes,Low,0.0,8.0,3.36,Engineering,Electrical
49,25.0,Female,38.0,Kinesthetic,6.0,Yes,88.0,76.0,100.0,Yes,Low,12.0,9.0,4.22,Health Sciences,Public Health
50,19.0,Male,44.0,Auditory,17.0,Yes,98.0,44.0,66.0,Yes,High,4.0,4.0,3.23,Engineering,Electrical
51,21.0,Female,33.0,Visual,9.0,Yes,99.0,87.0,79.0,No,High,21.0,7.0,4.45,Business and Finance,Economics
52,23.0,Female,26.0,Visual,3.0,Yes,62.0,64.0,71.0,Yes,Low,10.0,6.0,3.24,Engineering,Electronic
53,19.0,Male,47.0,Kinesthetic,2.0,No,52.0,44.0,84.0,Yes,Medium,11.0,10.0,2.72,Health Sciences,Medical Technology
54,25.0,Male,39.0,Reading/Writing,15.0,Yes,88.0,89.0,63.0,No,Medium,5.0,5.0,4.175,Business and Finance,Economics
55,23.0,Male,21.0,Visual,1.0,Yes,89.0,59.0,74.0,Yes,Medium,18.0,8.0,3.55,Engineering,Mechanical
56,21.0,Female,5.0,Visual,19.0,Yes,71.0,69.0,77.0,Yes,High,30.0,6.0,3.56,Business and Finance,Business Administration
57,29.0,Male,19.0,Reading/Writing,5.0,No,53.0,85.0,71.0,No,Medium,29.0,9.0,3.63,Engineering,Electronic
58,29.0,Female,36.0,Reading/Writing,17.0,Yes,52.0,46.0,51.0,Yes,Low,27.0,7.0,2.44,Business and Finance,Business Administration
59,20.0,Male,14.0,Kinesthetic,2.0,Yes,52.0,83.0,77.0,Yes,High,19.0,9.0,3.625,Engineering,Mechanical
60,25.0,Female,41.0,Kinesthetic,6.0,Yes,59.0,69.0,53.0,No,Low,11.0,6.0,3.14,Business and Finance,Economics
61,26.0,Female,32.0,Reading/Writing,7.0,Yes,71.0,94.0,89.0,No,Low,18.0,10.0,4.305,Business and Finance,Entrepreneurship
62,18.0,Male,21.0,Kinesthetic,12.0,Yes,100.0,55.0,75.0,No,Medium,28.0,4.0,3.625,Health Sciences,Public Health
63,20.0,Female,21.0,Kinesthetic,10.0,Yes,72.0,44.0,83.0,Yes,Low,12.0,6.0,3.01,Engineering,Electrical
64,24.0,Female,31.0,Kinesthetic,6.0,Yes,88.0,60.0,77.0,Yes,Low,11.0,6.0,3.59,Health Sciences,Medical Technology
65,24.0,Female,9.0,Kinesthetic,11.0,No,88.0,95.0,87.0,No,Medium,23.0,5.0,4.565,Business and Finance,Economics
66,24.0,Male,12.0,Kinesthetic,14.0,No,57.0,57.0,73.0,Yes,Medium,4.0,7.0,3.01,Engineering,Electrical
67,27.0,Male,42.0,Auditory,11.0,No,83.0,66.0,60.0,No,Medium,21.0,7.0,3.495,Engineering,Electronic
68,19.0,Male,11.0,Visual,3.0,No,91.0,73.0,73.0,No,Medium,2.0,9.0,3.92,Engineering,Electrical
69,18.0,Female,35.0,Visual,2.0,No,96.0,54.0,96.0,Yes,High,5.0,9.0,3.75,Engineering,Computer
70,22.0,Male,9.0,Reading/Writing,7.0,Yes,53.0,72.0,87.0,No,Medium,10.0,8.0,3.465,Health Sciences,Nursing
71,20.0,Female,46.0,Visual,13.0,No,55.0,45.0,52.0,No,Medium,7.0,7.0,2.47,Business and Finance,Economics
72,23.0,Male,9.0,Visual,3.0,Yes,53.0,83.0,78.0,No,Low,2.0,8.0,3.65,Engineering,Mechanical
73,19.0,Male,7.0,Auditory,12.0,No,79.0,76.0,72.0,Yes,Medium,10.0,5.0,3.805,Engineering,Electrical
74,25.0,Male,22.0,Visual,6.0,No,75.0,88.0,68.0,No,Medium,19.0,9.0,4.005,Engineering,Mechanical
75,29.0,Female,34.0,Auditory,3.0,Yes,53.0,47.0,99.0,No,Medium,27.0,6.0,2.96,Engineering,Mechanical
76,25.0,Female,31.0,Reading/Writing,11.0,Yes,76.0,80.0,69.0,Yes,Low,24.0,5.0,3.83,Health Sciences,Medical Technology
77,23.0,Male,38.0,Kinesthetic,0.0,Yes,62.0,93.0,96.0,Yes,Medium,5.0,6.0,4.215,Health Sciences,Nursing
78,26.0,Male,39.0,Reading/Writing,15.0,No,88.0,53.0,57.0,Yes,High,13.0,8.0,3.215,Business and Finance,Entrepreneurship
79,25.0,Female,23.0,Visual,5.0,Yes,62.0,76.0,61.0,Yes,High,0.0,6.0,3.44,Business and Finance,Economics
81,20.0,Female,34.0,Kinesthetic,18.0,No,76.0,57.0,61.0,Yes,Medium,25.0,5.0,3.175,Business and Finance,Entrepreneurship
82,23.0,Male,12.0,Visual,8.0,Yes,75.0,70.0,52.0,Yes,Low,10.0,8.0,3.395,Engineering,Electronic
83,28.0,Female,28.0,Reading/Writing,0.0,Yes,98.0,99.0,99.0,Yes,Medium,1.0,4.0,4.935,Engineering,Electronic
84,18.0,Male,23.0,Reading/Writing,0.0,No,89.0,81.0,70.0,Yes,Medium,13.0,9.0,4.06,Business and Finance,Economics
85,19.0,Female,35.0,Kinesthetic,9.0,Yes,90.0,61.0,92.0,No,Medium,2.0,8.0,3.795,Health Sciences,Medical Technology
86,20.0,Male,5.0,Reading/Writing,14.0,No,71.0,44.0,61.0,No,Medium,2.0,5.0,2.775,Business and Finance,Business Administration
87,29.0,Female,11.0,Visual,4.0,Yes,74.0,59.0,80.0,No,Medium,18.0,4.0,3.385,Engineering,Mechanical
89,19.0,Female,15.0,Reading/Writing,15.0,Yes,61.0,94.0,54.0,No,High,20.0,10.0,3.805,Health Sciences,Public Health
90,25.0,Female,40.0,Auditory,15.0,Yes,58.0,88.0,87.0,No,Low,28.0,7.0,3.94,Engineering,Computer
91,27.0,Female,12.0,Reading/Writing,19.0,Yes,58.0,92.0,86.0,No,Low,26.0,5.0,4.03,Engineering,Electrical
93,29.0,Female,12.0,Reading/Writing,15.0,Yes,57.0,74.0,57.0,No,Medium,13.0,8.0,3.275,Engineering,Computer
94,29.0,Female,22.0,Visual,6.0,No,100.0,61.0,87.0,Yes,Medium,19.0,5.0,3.895,Health Sciences,Pharmacy
95,19.0,Male,25.0,Visual,12.0,Yes,80.0,94.0,52.0,Yes,Low,15.0,10.0,4.07,Engineering,Computer
97,28.0,Female,39.0,Reading/Writing,13.0,No,100.0,100.0,96.0,Yes,Medium,15.0,8.0,4.96,Health Sciences,Pharmacy
98,22.0,Female,34.0,Reading/Writing,17.0,No,86.0,44.0,95.0,Yes,Low,12.0,9.0,3.34,Business and Finance,Economics
99,24.0,Male,30.0,Kinesthetic,7.0,No,80.0,93.0,80.0,Yes,Low,1.0,7.0,4.325,Engineering,Computer
100,23.0,Female,11.0,Auditory,10.0,No,63.0,47.0,81.0,Yes,Low,0.0,4.0,2.93,Business and Finance,Entrepreneurship
101,26.0,Male,16.0,Reading/Writing,14.0,Yes,89.0,83.0,59.0,Yes,High,12.0,4.0,4.0,Health Sciences,Pharmacy
102,20.0,Male,47.0,Auditory,5.0,No,73.0,68.0,59.0,Yes,Low,29.0,10.0,3.385,Engineering,Electronic
103,18.0,Female,49.0,Visual,6.0,No,91.0,55.0,59.0,Yes,Medium,19.0,8.0,3.33,Health Sciences,Pharmacy
104,26.0,Male,16.0,Kinesthetic,19.0,No,54.0,55.0,62.0,Yes,High,15.0,5.0,2.805,Engineering,Electrical
105,19.0,Female,38.0,Kinesthetic,0.0,Yes,74.0,40.0,68.0,No,Medium,27.0,9.0,2.79,Engineering,Electrical
109,23.0,Female,23.0,Reading/Writing,7.0,Yes,61.0,98.0,50.0,Yes,Low,4.0,4.0,3.865,Health Sciences,Medical Technology
110,23.0,Male,10.0,Reading/Writing,17.0,No,52.0,61.0,51.0,Yes,High,17.0,4.0,2.815,Engineering,Electronic
111,25.0,Female,45.0,Kinesthetic,20.0,Yes,75.0,42.0,92.0,Yes,Medium,28.0,6.0,3.095,Business and Finance,Accountancy
112,21.0,Female,48.0,Visual,6.0,Yes,66.0,78.0,86.0,Yes,Medium,14.0,7.0,3.8,Business and Finance,Business Administration
113,27.0,Female,31.0,Reading/Writing,1.0,Yes,79.0,57.0,58.0,No,Low,20.0,7.0,3.19,Business and Finance,Accountancy
114,24.0,Male,33.0,Auditory,18.0,Yes,59.0,62.0,69.0,No,Low,8.0,10.0,3.125,Health Sciences,Medical Technology
115,19.0,Female,23.0,Visual,6.0,No,56.0,59.0,81.0,Yes,Medium,27.0,10.0,3.125,Engineering,Computer
116,28.0,Female,23.0,Visual,2.0,No,76.0,89.0,98.0,No,High,28.0,10.0,4.345,Health Sciences,Public Health
117,27.0,Male,13.0,Reading/Writing,5.0,No,79.0,63.0,80.0,Yes,Medium,5.0,8.0,3.56,Health Sciences,Pharmacy
118,28.0,Female,36.0,Kinesthetic,0.0,No,52.0,48.0,68.0,Yes,High,15.0,8.0,2.66,Business and Finance,Economics
120,21.0,Female,15.0,Kinesthetic,16.0,No,97.0,95.0,72.0,Yes,Medium,4.0,4.0,4.55,Engineering,Electronic
