Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Equiv_Grade,College,Degree_Program
S00001,18,Female,48,Kinesthetic,14,Yes,100,69,66,Yes,High,9,8,3.885,Engineering,Mechanical
S00002,29,Female,30,Reading/Writing,20,No,71,40,57,Yes,Medium,28,8,2.635,Health Sciences,Nursing
S00003,20,Female,47,Kinesthetic,11,No,60,43,79,Yes,Low,13,7,2.765,Health Sciences,Nursing
S00004,23,Female,13,Auditory,0,Yes,63,70,60,Yes,Low,24,10,3.295,Business and Finance,Accountancy
S00005,19,Female,24,Auditory,19,Yes,59,63,93,Yes,Medium,26,8,3.39,Health Sciences,Pharmacy
S00006,28,Female,26,Kinesthetic,5,Yes,63,54,80,No,High,25,8,3.095,Business and Finance,Business Administration
S00007,19,Female,49,Reading/Writing,13,Yes,91,44,66,Yes,Low,30,10,3.125,Engineering,Mechanical
S00008,27,Male,14,Reading/Writing,5,Yes,88,56,76,Yes,Low,4,6,3.48,Health Sciences,Medical Technology
S00009,22,Male,45,Visual,16,No,52,78,70,No,Low,26,9,3.43,Business and Finance,Economics
S00010,28,Other,35,Auditory,7,No,100,55,100,No,Medium,5,9,3.875,Engineering,Electronic
S00011,23,Male,40,Kinesthetic,20,No,74,44,93,No,Medium,15,10,3.14,Engineering,Computer
S00012,23,Male,14,Visual,18,Yes,77,56,74,No,High,9,6,3.295,Health Sciences,Medical Technology
S00013,23,Female,24,Visual,4,No,67,73,93,Yes,Medium,28,7,3.76,Business and Finance,Accountancy
S00014,27,Male,44,Reading/Writing,20,No,80,60,51,Yes,Low,27,6,3.21,Engineering,Electrical
S00015,22,Other,10,Reading/Writing,17,Yes,67,71,55,Yes,High,28,8,3.33,Health Sciences,Public Health
S00016,25,Female,28,Reading/Writing,13,Yes,85,90,76,Yes,Medium,5,8,4.285,Health Sciences,Medical Technology
S00017,19,Male,11,Visual,20,Yes,81,93,93,No,Medium,6,9,4.47,Health Sciences,Public Health
S00018,18,Male,8,Kinesthetic,9,Yes,52,97,69,No,Low,1,5,3.895,Business and Finance,Economics
S00019,22,Male,11,Kinesthetic,11,No,50,74,96,Yes,Medium,13,7,3.56,Engineering,Electronic
S00020,19,Female,28,Auditory,19,No,50,64,80,Yes,Medium,20,8,3.15,Health Sciences,Nursing
S00021,19,Male,30,Reading/Writing,0,Yes,89,97,90,Yes,Low,26,10,4.66,Health Sciences,Medical Technology
S00022,20,Male,48,Visual,16,Yes,81,76,82,Yes,Medium,29,9,3.935,Business and Finance,Entrepreneurship
S00023,18,Female,14,Reading/Writing,4,Yes,90,75,73,Yes,High,12,9,3.955,Engineering,Mechanical
S00024,25,Male,41,Reading/Writing,6,Yes,68,93,100,No,Medium,23,7,4.345,Business and Finance,Business Administration
S00025,25,Female,36,Visual,3,Yes,96,83,66,Yes,Low,8,7,4.175,Business and Finance,Entrepreneurship
S00026,22,Female,38,Reading/Writing,7,Yes,91,61,50,Yes,Low,19,10,3.39,Business and Finance,Business Administration
S00027,19,Male,48,Kinesthetic,1,Yes,86,52,86,Yes,Low,30,9,3.45,Health Sciences,Public Health
S00028,19,Male,40,Auditory,16,Yes,100,63,74,No,Medium,29,7,3.815,Business and Finance,Economics
S00029,24,Female,39,Kinesthetic,9,No,79,90,91,Yes,Medium,21,6,4.345,Business and Finance,Accountancy
S00030,29,Male,,Visual,5,No,76,41,79,No,Low,20,5,2.955,Health Sciences,Public Health
S00031,20,Male,23,Kinesthetic,3,Yes,59,57,81,Yes,Medium,9,5,3.12,Business and Finance,Business Administration
,22,Female,,Auditory,,No,,,,,Medium,16,,0,Business and Finance,Economics
S00033,23,Male,25,Auditory,12,Yes,55,63,85,Yes,High,14,4,3.25,Engineering,Computer
S00034,,,6,,,Yes,96,100,71,Yes,,2,,4.65,Health Sciences,Pharmacy
S00035,28,Female,32,Auditory,5,No,53,54,96,Yes,High,0,10,3.105,Business and Finance,Accountancy
S00036,19,,,Auditory,12,Yes,,,,,,,5,0,Health Sciences,Public Health
S00037,26,Female,26,Kinesthetic,3,Yes,53,48,76,No,Low,19,4,2.755,Engineering,Computer
S00038,20,Female,11,Visual,3,Yes,58,73,62,No,Medium,22,7,3.315,Engineering,Computer
